Date,Kasaragod,Kannur,Wayanad,Kozhikode,Malappuram,Palakkad,Thrissur,Ernakulam,Idukki,Kottayam,Pathanamthitta,Alappuzha,Kollam,Thiruvananthapuram
10-Aug,146,63,33,66,255,147,40,101,18,40,4,30,41,200
11-Aug,147,30,18,158,242,141,32,133,4,24,20,146,25,297
12-Aug,68,31,12,93,261,81,19,121,42,76,19,118,5,266
13-Aug,79,27,27,98,202,202,75,115,31,53,75,72,74,434
14-Aug,49,95,57,99,198,180,80,114,58,101,40,113,75,310
15-Aug,81,52,48,151,362,74,85,106,31,39,49,118,91,321
16-Aug,48,52,49,118,221,29,30,123,30,100,44,86,81,519
17-Aug,97,77,15,46,306,137,156,129,23,89,2,139,48,461
18-Aug,42,123,47,147,242,51,48,192,5,93,65,126,88,489
19-Aug,174,126,17,78,322,65,97,230,64,203,87,253,77,540
20-Aug,91,78,35,130,356,65,72,150,35,124,119,198,86,429
21-Aug,105,78,26,158,335,83,119,165,34,136,78,155,82,429
22-Aug,119,62,25,232,395,184,179,114,37,104,93,87,77,464
23-Aug,85,143,10,119,186,39,116,200,29,106,104,241,133,397
